Source, Target, Weight, Common_Token_Cnt
13137, 13138, 0.200000, 1
18014, 18014, 0.625000, 2
15112, 16361, 0.014286, 1
15360, 15376, 0.038462, 1
15098, 15145, 0.014286, 1
8920, 13262, 0.200000, 1
14833, 14835, 0.250000, 1
21208, 21221, 0.055556, 1
19930, 19930, 0.209524, 2
11891, 11891, 0.502083, 2
20141, 20141, 0.501808, 2
14562, 14564, 0.183824, 2
16827, 16828, 0.558824, 2
15457, 15460, 0.090909, 1
12907, 13115, 0.200000, 1
15844, 18988, 0.017241, 1
10958, 10959, 0.252591, 2
16941, 16941, 0.584690, 3
14350, 14373, 0.017241, 1
16796, 16797, 0.157576, 2
14378, 14378, 0.160099, 2
15901, 15901, 0.336580, 2
17086, 17087, 0.500742, 2
18408, 18409, 0.426434, 4
17451, 17453, 0.333333, 1
15864, 15864, 0.340698, 3
12282, 12282, 0.251263, 2
14365, 14377, 0.017241, 1
16405, 16408, 0.111111, 1
15090, 15090, 0.018231, 3
10069, 10070, 0.500000, 1
10578, 10579, 0.333333, 1
17001, 17003, 0.336174, 2
18827, 18828, 0.500000, 1
14770, 15840, 0.017241, 1
18368, 18369, 0.145698, 2
17497, 17497, 0.502045, 2
17257, 17258, 0.250000, 1
14995, 14995, 0.504607, 3
12320, 17931, 0.100000, 1
15110, 15129, 0.014286, 1
17985, 17986, 0.500000, 1
14381, 14383, 0.183908, 2
18293, 18294, 0.333333, 1
20770, 20770, 0.252674, 2
11089, 11091, 0.333333, 1
11691, 15834, 0.017241, 1
13589, 19977, 0.090909, 1
17856, 17857, 0.500000, 1
21035, 21035, 0.334596, 2
15095, 15118, 0.014286, 1
20858, 20864, 0.100000, 1
14440, 14440, 0.450000, 2
19542, 19548, 0.100000, 1
15103, 18157, 0.250000, 1
10148, 16794, 0.066667, 1
21391, 21563, 0.111111, 1
14361, 17447, 0.125000, 1
18338, 18339, 0.500000, 1
10496, 10496, 0.417595, 3
17506, 17507, 0.500000, 1
9156, 10546, 0.100742, 2
13945, 21650, 0.392857, 2
15762, 18220, 0.500000, 1
15102, 21696, 0.028571, 1
15357, 15364, 0.038462, 1
13834, 18314, 0.018868, 1
12824, 12826, 0.333333, 1
11742, 11742, 0.750000, 2
15839, 18349, 0.017241, 1
10734, 10734, 0.500742, 2
9253, 9257, 0.166667, 1
15922, 15923, 0.333333, 1
18163, 18163, 0.201808, 2
14971, 14971, 0.611111, 2
12254, 12255, 0.250742, 2
10088, 10273, 0.142857, 1
17428, 17428, 0.530303, 2
15307, 15310, 0.111111, 1
21460, 21463, 0.253030, 2
19641, 19641, 0.750000, 3
13072, 13074, 0.200000, 1
11721, 11723, 0.111111, 1
14218, 14219, 0.500000, 1
12697, 12697, 0.200742, 2
19293, 19293, 0.518519, 3
16156, 16156, 0.500742, 2
19462, 19462, 0.100742, 2
10999, 10999, 0.502045, 2
18946, 18946, 0.534076, 3
10761, 10768, 0.090909, 1
14769, 14769, 0.336853, 3
15365, 15365, 0.264652, 3
16611, 16612, 0.371795, 2
10841, 10842, 0.500742, 2
14375, 14382, 0.017241, 1
16605, 21433, 0.017857, 1
14343, 14352, 0.017241, 1
21325, 21531, 0.033333, 1
17995, 17996, 0.333333, 1
17610, 17616, 0.056484, 2
8886, 8887, 0.340270, 3
12452, 12453, 0.500000, 1
10697, 10708, 0.029412, 1
19850, 19850, 0.626263, 3
18507, 18509, 0.250000, 1
14187, 14188, 0.500000, 1
15862, 15862, 0.662500, 3
14738, 21055, 0.111111, 1
13473, 13473, 0.144994, 2
14698, 14699, 0.333333, 1
20642, 20642, 0.503165, 3
14667, 14668, 0.334690, 2
11350, 20931, 0.111111, 1
16408, 16408, 0.113952, 2
9854, 9855, 0.501808, 2
20650, 20650, 0.835350, 3
13287, 14365, 0.017241, 1
17807, 17807, 0.287037, 2
14382, 21324, 0.166667, 1
12602, 12604, 0.062500, 1
11002, 11003, 0.500000, 1
12438, 12438, 0.503030, 2
12299, 12302, 0.257407, 2
9213, 18212, 0.043478, 1
20713, 20715, 0.480044, 4
10367, 10367, 0.502257, 2
21666, 21666, 0.668712, 3
16933, 16933, 0.542347, 4
15121, 15148, 0.014286, 1
10019, 10019, 0.502083, 2
11882, 13904, 0.111111, 1
20093, 20093, 0.128030, 2
9770, 9770, 0.502841, 2
13812, 15253, 0.028571, 1
12747, 15845, 0.022222, 1
20760, 20761, 0.200000, 1
10440, 10441, 0.500000, 1
14894, 14896, 0.200000, 1
14515, 14515, 0.836174, 4
19553, 19553, 0.183824, 2
19420, 19420, 0.124383, 4
17590, 18745, 0.125000, 1
12110, 12111, 0.502016, 2
21064, 21066, 0.168712, 2
9252, 9256, 0.166667, 1
13075, 13076, 0.500000, 1
15101, 15137, 0.014286, 1
20515, 20515, 0.416667, 2
21325, 21327, 0.033333, 1
21578, 21582, 0.035714, 1
17310, 21433, 0.017857, 1
10173, 10173, 0.353333, 2
18028, 18029, 0.250000, 1
13374, 13377, 0.361111, 2
13433, 13437, 0.090909, 1
13899, 13900, 0.231250, 2
16503, 16504, 0.083333, 1
11766, 11767, 0.336498, 2
10716, 10716, 0.177778, 2
19008, 19008, 0.500929, 2
19459, 19460, 0.334262, 2
10630, 10632, 0.090909, 1
19133, 19134, 0.335338, 3
13724, 13725, 0.500000, 1
16907, 17660, 0.015625, 1
13404, 13406, 0.090909, 1
13127, 21329, 0.033333, 1
17948, 17949, 0.500000, 1
15486, 15487, 0.335142, 2
14482, 14482, 0.750000, 2
13493, 13493, 0.503268, 2
9679, 9680, 0.500000, 1
12759, 12760, 0.166667, 1
11927, 11928, 0.167929, 2
12753, 12754, 0.200929, 2
19903, 19904, 0.500000, 1
14347, 14365, 0.017241, 1
16661, 16662, 0.100000, 1
15107, 15149, 0.014286, 1
15914, 18295, 0.333333, 1
15906, 18129, 0.500000, 1
15120, 15130, 0.014286, 1
17289, 17290, 0.500000, 1
9557, 20239, 0.020000, 1
14640, 14641, 0.500000, 1
20858, 20860, 0.100000, 1
9556, 9558, 0.333333, 1
18600, 18601, 0.335349, 2
9247, 18610, 0.076923, 1
14700, 14700, 0.505284, 3
16326, 20239, 0.020000, 1
